Property ID 	 Description 	 Represents 	 Domain 	 Allowed Values 	 Examples 	 Data Type
P1591	person accused, at a trial	null	Trials, courts martial	person, organisation (note: this should be moved to the property statements)	According to this template: Trial of Thomas Paine (Q18327521) => Thomas Paine (Q126462) According to statements in the property: Trial of Thomas Paine (Q18327521) ? Thomas Paine (Q126462) When possible, data should only be stored as statements	Item
P1350	total number of matches played by a sportsman for a given team or in a given competition, or by a team in a given competition	null	human (Q5), sports team (Q12973014)	integer (note: this should be moved to the property statements)	Cristiano Ronaldo (Q11571) < member of sports team (P54)> Real Madrid Club de Fútbol (Q8682) <'number of matches played'> 246 Stade Toulousain (Q431412) <takes part in> Heineken Cup (Q877423) <'number of matches played'> 138 (note: this should be moved to the property statements)	Number
P1592	null	prosecutor (Q600751)	Trials, courts martial	person, organisation (note: this should be moved to the property statements)	Trial of Thomas Paine (Q18327521) ? Sir Archibald Macdonald, 1st Baronet (Q7526038)	Item
P1590	number of people dead or injured because of this event. Used when precise data on number of deaths and number of injured is unavailable.	null	event (Q1190554)	non-negative numbers (note: this should be moved to the property statements)	2004 Indian Ocean earthquake (Q130754) number of casualties 280,000 (note: this should be moved to the property statements)	Number
P1068	instruction set (Q272683) : Instruction set which the CPU is compatible	null	CPU : types of electronic circuit (Q1815901), such as microprocessor (Q5297)	instruction set (Q272683) (latest list) (note: this should be moved to the property statements)	According to this template: Athlon 64 (Q294894) => x86-64 (Q272629) According to statements in the property: Athlon 64 (Q294894) ? x86-64 (Q272629) When possible, data should only be stored as statements	Item
P1066	person who was the teacher of the subject. Inverse of student (P802). See also doctoral advisor (P184).	teacher (Q37226)	persons	human (Q5) (note: this should be moved to the property statements)	Albert Einstein (Q937) ? Heinrich Friedrich Weber (Q116635) Alexander the Great (Q8409) ? Aristotle (Q868)	Item
P2031	period during which a person flourished (fl. = "floruit") in their professional activity	null	persons (including pseudonyms, house names etc.)	any date (note: this should be moved to the property statements)	Vincent van Gogh (Q5582) => circa 1880 (note: this should be moved to the property statements)	Point in time
P1064	null	track gauge (Q214519)	transportation	track gauge (Q214519) (see latest list) (note: this should be moved to the property statements)	Belgrade–Bar railway (Q792406) ? 1435 mm track gauge (Q1999572) Line C-1 (Q3239078) ? 1668 mm track gauge (Q3319112)	Item
P2032	period during which a person flourished (fl. = "floruit") in their professional activity	null	persons (including pseudonyms, house names etc.)	any date (note: this should be moved to the property statements)	Vincent van Gogh (Q5582) => circa July 1890 (note: this should be moved to the property statements)	Point in time
P1060	How a pathogen is transmitted. Follows the pathogen transmission ontology from OBO.	pathogen transmission (Q525512)	types of disease (Q12136)	types of pathogen transmission (Q525512) (note: this should be moved to the property statements)	influenza (Q2840) ? airborne transmission (Q15304519)	Item
P1181	Numerical value of a number (Q11563), a mathematical constant (Q186509) or a physical constant (Q173227)	null	number (Q11563), physical constant (Q173227)	real or integer numbers, positive or negative - real number (Q12916) (note: this should be moved to the property statements)	1 (Q199) ? 1 pi (Q167) ? 3.1415926535898 speed of light (Q2111) ? 299792458 metre per second gas constant (Q182333) ? 8.3144598 joule per mole kelvin	Number
P1056	Resources produced by mines, quarries and possibly industrial sites. The value entered should be the final product that is still a resource (not "Fuel rod", but rather "Uranium"). Maybe qualify for: on- or off-site refinement, link to refinery (if notable), link to the rock mined.	product (Q2424752)	chemical elements, metals, rocks, oil & gas (= natural resources)	types of chemical substance (Q79529) (note: this should be moved to the property statements)	According to this template: Jaduguda Uranium Mine (Q15229130) => uranium (Q1098) Groningen gas field (Q2069152) => natural gas (Q40858) & qualifier for rock in which the resource is found: Slochteren Formation (Q15229183) According to statements in the property: Jaduguda Uranium Mine (Q15229130) ? uranium (Q1098) Groningen gas field (Q2069152) ? Slochteren Formation (Q15229183) When possible, data should only be stored as statements	Item
P1057	the chromosome on which an entity is localized	chromosome (Q37748)	any item that can be localized to a set of genomic coordinates, e.g. a gene (Q7187), sequence variant (Q15304597), etc	any type of chromosome (Q37748) (see latest list), e.g. chromosome 1 (Q430258), mouse chromosome 1 (Q14864323) (note: this should be moved to the property statements)	RELN (Q414043) ? chromosome 7 (Q657319) rs267601217 (Q15304616) ? chromosome 7 (Q657319) Reln (Q14331135) ? mouse chromosome 5 (Q15304656)	Item
P1299	inverse of depicts (P180) to add to the motif	null	any motifs: religious, historical event (Q1656682) events, landscapes, (fictional) persons depicted in a book, film, TV show, myth or any artwork etc.	creative works, books of the bible (note: this should be moved to the property statements)	According to this template: example: Battle of Anghiari (Q1779008) => is depicted by The Battle of Anghiari (Q2045726), while inverse The Battle of Anghiari (Q2045726) uses depicts (P180) Battle of Anghiari (Q1779008); Daniel (Q171724) => Book of Daniel (Q80115) According to statements in the property: sea of clouds (Q3306217) ? Wanderer above the Sea of Fog (Q311243) When possible, data should only be stored as statements	Item
P1174	number of visitors to a museum, attraction, place - number of visitors per year / attendance per year - Qualify with point in time (P585) or [ start time (P580) + end time (P582) ] and provide a source. For event (Q1656682), rather use attendance (P1110).	null	geographical object (Q618123), organization (Q43229)	positive integer values (note: this should be moved to the property statements)	Silesian regional museum Opava (Q651366) visitors per year (P1174) => 85,810, point in time (P585): 2012 (reference URL (P854) => http://www.szm.cz/media/docs/vyrocni-zprava-2012-opr.-525bd27e4d234.pdf#page=21) visitors per year (P1174) => 67,144, point in time (P585): 2010 (reference URL (P854) => http://www.szm.cz/media/docs/vyrocni-zprava-2010-4e0b2a9f9b3fb.pdf#page=31) (note: this should be moved to the property statements)	Number
P1295	emissivity (Q899670) : ability of a substance to radiate energy	emissivity (Q899670)	any type of material (Q214609)	0-1 (note: this should be moved to the property statements)	cement (Q45190) => 0.54 (note: this should be moved to the property statements)	Number
P2021	null	Erd?s number (Q243972)	people	integer ?0 (note: this should be moved to the property statements)	Paul Erd?s (Q173746) ? 0	Number
P1050	disease or physical ailment affecting an individual human or animal	???????? ??????? (Q2057971)	instances of organism (Q7239), mainly human (Q5) but also other Animal (Q729)	types of ???????? ??????? (Q2057971) (see latest list and tree) (note: this should be moved to the property statements)	According to this template: Petchara Chaowarat (Q6665137) => blindness (Q10874); Sarah Vinci (Q7422869) => spina bifida (Q844717) According to statements in the property: Petchara Chaowarat (Q6665137) ? spina bifida (Q844717) When possible, data should only be stored as statements	Item
P1171	approximation algorithm (Q621751): method used to approximate this number. See also determination method (P459).	approximation algorithm (Q621751)	number (Q11563), maybe also other mathematical or physical objects ...	approximation algorithm (Q621751) : algorithm used to compute an approximation of the subject value (note: this should be moved to the property statements)	Pi : <?pi (Q167) ()?> approximation algorithm (P1171) [SQUID]<?Gauss–Legendre algorithm (Q2448949) ()?> (note: this should be moved to the property statements)	Item
P1290	godparent(s) of person	godparent (Q223973)	person	person (note: this should be moved to the property statements)	According to this template: Queen Victoria godparent (P1290) Alexander I of Russia According to statements in the property: Queen Victoria (Q9439) ? Alexander I of Russia (Q15193) When possible, data should only be stored as statements	Item
P1170	The type of signals a machinery can emit.	null	all kinds of machines that do transmitting	signal bands - signal (Q174984) (note: this should be moved to the property statements)	Gaia (Q767805) ? S band (Q2018880)	Item
P1049	religion, mythology or culture that worships this deity	null	deity (Q178885)	belief (Q34394), mainly religion (Q9174) (note: this should be moved to the property statements)	According to this template: Ahura Mazda (Q179575) => Zoroastrianism (Q9601) / Yemaja (Q1477162) => Yoruba religion (Q1086440) / Zeus (Q34201) => religion in ancient Greece (Q855270) According to statements in the property: Ahura Mazda (Q179575) ? religion in ancient Greece (Q855270) When possible, data should only be stored as statements	Item
P1046	discovery method of an extrasolar planet	method of detecting extrasolar planets (Q591022)	extrasolar planet	a limited number of items as for example Doppler spectroscopy (Q2273386), transit method (Q2069919), Transit Timing Variation (Q2945337), gravitational microlensing (Q1028022), Polarimetry (Q899381), astrometry (Q181505) (note: this should be moved to the property statements)	HAT-P-7b (Q1328150) ? transit method (Q2069919) 14 Andromedae b (Q1039721) ? Doppler spectroscopy (Q2273386) Kepler-41b (Q15114570) ? transit method (Q2069919)	Item
P1164	The number of elements in a finite group	null	finite group (Q1057968)	positive integers (note: this should be moved to the property statements)	Dihedral group of order 6 (Q2204630) ? 6 Klein four-group (Q550593) ? 4 Mathieu group M11 (Q6787235) ? 7920 Conway group Co3 (Q5166742) ? 495766656000	Number
P1165	The home world/planet of the fictional entity	null	fictional races/aliens - fictitious entity (Q14897293)	fictional location (Q3895768) (note: this should be moved to the property statements)	Romulan (Q268082) ? Romulus (Q2786172) Orcs in Tolkien's legendarium (Q937840) ? Middle-earth (Q79734)	Item
P2012	Type of food served by a restaurant or restaurant chain	cuisine (Q1778821)	restaurants or restaurant chains	subclasses (or instances) of cuisine (Q1778821) (note: this should be moved to the property statements)	According to this template: Hindoostanee Coffee House (Q5766176) ? Indian cuisine (Q192087) According to statements in the property: Hindoostanee Coffee House (Q5766176) ? Indian cuisine (Q192087) When possible, data should only be stored as statements	Item
P1041	The names of the sockets that the CPU was designed for.	null	CPU	null	According to this template: Core2 Duo E8200 (Q15219262): LGA 775 (Q610702) According to statements in the property: Core2 Duo E8200 (Q15219262) ? LGA 775 (Q610702) When possible, data should only be stored as statements	Item
P1283	list of films the person worked on	filmography (Q1371849)	person	instance of (P31) => filmography (Q1371849), is a list of (P360) => film (Q11424) (note: this should be moved to the property statements)	According to this template: Bruce Lee (Q16397) => Bruce Lee filmography (Q4977862) According to statements in the property: Bruce Lee (Q16397) ? Bruce Lee filmography (Q4977862) When possible, data should only be stored as statements	Item
P1040	null	film editor (Q7042855)	film, profession (person ?)	items (note: this should be moved to the property statements)	Schindler's List (Q483941) ? Michael Kahn (Q692550)	Item
P1038	describes non-direct family relationships [ kinship (Q171318) ] between members and when the intermediary family members are unknown or irrelevant. Use together with qualifier type of kinship (P1039).	kinship (Q171318)	person - person (Q215627)	person - person (Q215627) (note: this should be moved to the property statements)	According to this template: Moulay Ali Cherif (Q3050987) => Al Hassan Addakhil (Q4703997) with the qualifier type of kinship (P1039) => ancestor (Q402152) According to statements in the property: Moulay Ali Cherif (Q3050987) ? ancestor (Q402152) When possible, data should only be stored as statements	Item
P1399	null	null	human (Q5)	items which are crimes (note: this should be moved to the property statements)	Mark Hofmann (Q4354485) ? murder (Q132821), forgery (Q1332286) and fraud (Q28813) Richard Klinkhamer (Q2302050) ? manslaughter (Q3882220)	Item
P1037	null	null	organization	person items (note: this should be moved to the property statements)	Louvre (Q19675) ? Jean-Luc Martinez (Q3167200)	Item
P1158	Location where the craft landed	null	spacecraft, landers and similar - vehicle (Q42889)	locations (note: this should be moved to the property statements)	Yutu (Q15273284) ? Mare Imbrium (Q487895)	Item
P1279	Percent change increase in CPI in one year	inflation rate (Q2755356)	Countries, regions and cities	A positive or a negative percentage (note: this should be moved to the property statements)	economy of Austria (Q8085) ? 1.5	Number
P1034	the property describes what a plant or animal eats. the direction is predator ---> prey. the link should always go to the most specific subdivision. So instead of saying a certain species of bird eats seeds, it should list all the specific seeds. Queries for "birds that eat seeds" should return said bird and list the seeds that it eats.	null	animal/plant species and groups - taxon (Q16521)	really specific species, genera, family of animal/plant that gets eaten - taxon (Q16521) (note: this should be moved to the property statements)	According to this template: koala [ koala (Q36101) ] => the species of eucalyptus [ Eucalyptus (Q45669) ] that it eats panda [ giant panda (Q33602) ] => bamboo [ bamboo (Q35922) ] (and the other stuff they eat) european bee-eater [ European bee-eater (Q170718) ] => bees, wasps, bumblebees, flying beetles, dragonflies, ... According to statements in the property: giant panda (Q33602) ? bamboo (Q35922) koala (Q36101) ? Eucalyptus (Q45669) When possible, data should only be stored as statements	Item
P1035	letters placed after the name of a person to indicate that the individual holds a position, educational degree, accreditation, office, or honour. Can be used in conjunction with honorific prefix (P511).	honorific (Q1326966)	Persons	award (Q618779), order (Q193622), qualification (Q3412758) or other post-nominal letters (Q2330404) (note: this should be moved to the property statements)	"John Smith PhD MIEE" or Doctor of Philosophy (Q752297)-<postnomial>:"PhD" (String) (note: this should be moved to the property statements)	Item
P1398	the item which was replaced by this building or structure, at the same location	null	person?, place, organization?	null	Royal Shakespeare Theatre (Q1375404) replaces Shakespeare Memorial Theatre (Q3481267) (note: this should be moved to the property statements)	Item
P1032	digital rights management (Q192532) with which technology or software a product would be protected	null	software and video games , but also music and films	integer (note: this should be moved to the property statements)	According to this template: NBA Live series (Q48854) => SafeDisc (Q1753835) According to statements in the property: NBA Live series (Q48854) ? SafeDisc (Q1753835) When possible, data should only be stored as statements	Item
P1033	GHS signal words	GHS signal word (Q15350855)	chemistry	warning (Q15350847), danger (Q15221217) (note: this should be moved to the property statements)	sodium azide (Q407577) = danger (note: this should be moved to the property statements)	Item
P1151	Wikimedia portal associated with this topic	Wikimedia portal (Q4663903)	null	Wikimedia portal (Q4663903) (note: this should be moved to the property statements)	Paris (Q90) ? Portal:Paris (Q8253667) badminton (Q7291) ? Portal:Badminton (Q13406680)	Item
P1393	person authorized to act for another	null	person (with the power) linking to the one who acts as representative	person, list of persons, name of office (note: this should be moved to the property statements)	According to this template: Elizabeth II (Q9682) => David Johnston (Q41564) with qualifier applies to jurisdiction (P1001) => Canada (Q16) According to statements in the property: Elizabeth II (Q9682) ? Canada (Q16) When possible, data should only be stored as statements	Item
P2120	null	radius (Q173817)	Any spherical object (obvious case: planets)	null	According to this template: Earth (Q2) = 6378137 metre (Q11573) (equatorial radius) According to statements in the property: Earth (Q2) ? 6378137 metre When possible, data should only be stored as statements	Number
P2079	null	process in engineering (Q10843872), manufacturing process (Q1408288)	objects, dishes, architectural elements, artworks, crops and other things	null	According to this template: silk (Q37681) ? sericulture (Q864650), biscuit (Q13270) ? baking (Q720398), Tournée du Chat noir (Q3535485) ? lithography (Q133036), etc. According to statements in the property: silk (Q37681) ? sericulture (Q864650) biscuit (Q13270) ? baking (Q720398) Tournée du Chat noir (Q3535485) ? lithography (Q133036) When possible, data should only be stored as statements	Item
P2075	null	speed of sound (Q124003)	chemistry, physics	null	methanol (Q14982) ? 1123 metre per second	Number
P2076	null	temperature (Q11466)	chemistry, physic	null	heat capacity= xx kJ/kg °C at yy °C (note: this should be moved to the property statements)	Number
P2073	maximum distance equipment can reach or be operated within (note conditions as qualifications)	range (Q905424)	null	null	According to this template: <Boeing 737> range <10,200 km> According to statements in the property: Boeing 737 (Q6387) ? 10200 mile When possible, data should only be stored as statements	Number
P908	European video game rating system	null	videogames - video game (Q7889)	PEGI 3 (Q14915512), PEGI 7 (Q14915514), PEGI 12 (Q14915515), PEGI 16 (Q14915516), PEGI 18 (Q14915517) (note: this should be moved to the property statements)	MISSING	Item
P2068	null	thermal conductivity (Q487005)	chemistry, physics	null	According to this template: gold (Q897) = 318 watt per meter kelvin (Q20971501) According to statements in the property: gold (Q897) ? 318 watt per meter kelvin When possible, data should only be stored as statements	Number
P2069	null	magnetic moment (Q242657)	particles	null	electron (Q2225) ? -1.0011596522 Bohr magneton	Number
P1098	number of speakers	number of speakers (Q23892516)	languages, language families (?)	null	According to this template: Welsh (Q9309) -> 720,000 (2004-2011, total), 560,000 (Wales (Q25), 2004-2006, total), 320,000 (Wales (Q25), 2004-2006, fluent only), 5,000 (Chubut Province (Q45007)) According to statements in the property: Kiga language (Q3270727) ? 1580000 When possible, data should only be stored as statements	Number
P2066	null	enthalpy of fusion (Q484790)	chemistry, physics	null	According to this template: Fusion enthalpy of methanol: 3167.29 J/mol at 175.22 K According to statements in the property: methanol (Q14982) ? 3167.29 joule per mole When possible, data should only be stored as statements	Number
P1099	number of masts - mast (Q331744)	null	ships - ship (Q11446)	small positive integers: 0 to 12 (note: this should be moved to the property statements)	Phocea (Q2088421) ? 4 USS Constitution (Q944436) ? 3	Number
P2067	null	mass (Q11423)	Everything with mass	null	Pluto (Q339) ? 13.05 yottagram Sage Canaday (Q20821793) ? 150 pound	Number
P1096	eccentricity of an orbit	orbital eccentricity (Q208474)	All orbiting objects.	Between 0 and 1 for elliptical orbits (note: this should be moved to the property statements)	Pluto (Q339) ? 0.24880766	Number
P1097	Characteristic property of any elementary particle (Lande factor)	Landé g-factor (Q1191684)	particles	null	MISSING	Number
P1092	How many such items were made?	null	manufactured product - product (Q2424752)	positive integer, from 0 to, say, 1,000,000,000 (note: this should be moved to the property statements)	Walther WA 2000 (Q42257) ? 176 CC-150 Polaris (Q6491) ? 5	Number
P1093	Gross tonnage (GT) is a unitless index related to a ship's overall internal volume.	gross tonnage (Q2719498)	Ships - ship (Q11446)	null	Emma Mærsk (Q477173) ? 170794	Number
P2061	null	aspect ratio (Q1441762)	various, including cameras	items for specific ratios (3:2, etc.) (note: this should be moved to the property statements)	Nikon D800 (Q1992016) ? 3:2 (Q20970431) and 5:4 (Q20970435)	Item
P1090	the redshift of an astronomical object.	red shift (Q76250)	astronomical object (Q6999) outside the Solar System	null	According to this template: <Messier 82 (Q14026)> redshift <0.000677 ± 0.000013> According to statements in the property: NGC 1300 (Q487211) ? 0.005252 When possible, data should only be stored as statements	Number
P805	Wikidata qualifier (Q15720608) - indicates an item that describes the relation established by the property. DO NOT use as a "topic" or "subject" property; alternatives: main subject (P921), no label (P1152)...	null	Any type of item	Any other item (note: this should be moved to the property statements)	<?Barack Obama (Q76) ()?> position held (P39) [SQUID]<?President of the United States of America (Q11696) ()?> subject of (P805) [SQUID] <?Presidency of Barack Obama (Q1379733) ()?> <?Osama bin Laden (Q1317) ()?> date of death (P570) [SQUID]<?May 2, 2011?> subject of (P805) [SQUID] <?Death of Osama bin Laden (Q19085) ()?> <?United States of America (Q30) ()?> shares border with (P47) [SQUID]<?Canada (Q16) ()?> subject of (P805) [SQUID] <?Canada–United States border (Q119515) ()?> (note: this should be moved to the property statements)	Item
P926	neuron connects on its postsynaptic end to	synapse (Q187181)	null	receptors, neurons, ... (note: this should be moved to the property statements)	retina bipolar cell (Q864951) ? Retinal ganglion cell (Q927337) and Retina amacrine cell (Q452595)	Item
P925	neuron connects on its presynaptic end to	null	null	receptors, neurons, ... (note: this should be moved to the property statements)	retina bipolar cell (Q864951) = rod cell (Q505544) & cone cell (Q147298) & Retina horizontal cell (Q1628177) (see: en:Bipolar cell of the retina) (note: this should be moved to the property statements)	Item
P807	subject was founded by members of the organization separating from object	null	organization	organization (note: this should be moved to the property statements)	Presbyterian Church in America (Q3555519) ? Presbyterian Church in the United States (Q3268181)	Item
P928	which neurotransmitter activates the neuron	null	neuron (Q43054)	types of neurotransmitter (Q162657) (note: this should be moved to the property statements)	pyramidal cell (Q2116409) = ?-aminobutyric acid (Q210021) & glutamic acid (Q181136) (see: en:Bipolar_cell_of_the_retina (note: this should be moved to the property statements)	Item
P927	where in the body does this anatomical feature lie	null	anatomical feature	anatomical locations (note: this should be moved to the property statements)	retina bipolar cell (Q864951) = Inner nuclear layer (Q4113799) (see: en:Bipolar_cell_of_the_retina (note: this should be moved to the property statements)	Item
P922	Magnetic ordering of a substance (eventually with w:Curie temperature as qualifier)	magnetic ordering (Q15706549)	metal (Q11426) (element, compound, or alloy)	magnetic ordering magnetic ordering (Q15706549) (note: this should be moved to the property statements)	According to this template: iron (Q677) --> ferromagnetism (Q184207) According to statements in the property: iron (Q677) ? ferromagnetism (Q184207) When possible, data should only be stored as statements	Item
P800	null	work (Q386724), magnum opus (Q491014)	Person	null	William Shakespeare (Q692) ? Hamlet (Q41567) J. K. Rowling (Q34660) ? Harry Potter (Q8337) Leonardo da Vinci (Q762) ? Mona Lisa (Q12418)	Item
P921	Main subject of a creative work. See also depicts (P180) for depicted items or minor subjects and characters (P674).	null	published works - work (Q386724)	null	Marina (Q14915757) ? Rocco Granata (Q1345844) De historia stirpium commentarii insignes (Q948923) ? Plant (Q756)	Item
P803	professorship position held by this academic person	chair (Q1363750)	person	academic positions (note: this should be moved to the property statements)	Stephen Hawking (Q17714) ? Lucasian Professor of Mathematics (Q865664)	Item
P924	treatments that might be used to treat the medical condition	therapy (Q179661)	term	all types of medical treatments (note: this should be moved to the property statements)	According to this template: bone fracture (Q68833) = Intramedullary rod (Q655955) According to statements in the property: bone fracture (Q68833) ? Intramedullary rod (Q655955) When possible, data should only be stored as statements	Item
P2058	null	null	instance of (P31) = treaty (Q131569)	instance of (P31) = position (Q4164871) or organization (Q43229) (note: this should be moved to the property statements)	Rotterdam Convention (Q94947) ? United Nations Secretary-General (Q81066) Basel Convention (Q775865) ? United Nations Secretary-General (Q81066)	Item
P802	Student(s) of a person. See also doctoral student (P185).	student (Q48282)	person	person (note: this should be moved to the property statements)	According to this template: Q937 (Einstein) => Q87554 (Ernst G. Straus) According to statements in the property: Albert Einstein (Q937) ? Ernst G. Straus (Q87554) When possible, data should only be stored as statements	Item
P923	examinations that might be used to diagnose the medical condition	null	types of physiological condition (Q7189713)	all types of medical examinations (note: this should be moved to the property statements)	According to this template: bone fracture (Q68833) = medical radiography (Q4115819) According to statements in the property: bone fracture (Q68833) ? medical radiography (Q4115819) When possible, data should only be stored as statements	Item
P1087	Elo rating from FIDE for every chess player	Elo rating system (Q105955)	Persons	null	Garry Kasparov (Q28614) ? 2812	Number
P2055	electrical conductivity of a substance with phase of matter and temperature as qualifiers	electrical conductivity (Q4593291)	null	null	According to this template: gold (Q897) = 45,5 · 10^6 amperes per volt meter (Q20966435) According to statements in the property: gold (Q897) ? 45500000 amperes per volt meter When possible, data should only be stored as statements	Number
P1088	Mohs hardness - Mohs scale of mineral hardness (Q41472)	Mohs scale of mineral hardness (Q41472)	any solid substance, mainly mineral (Q7946)	integer values between 1 and 10 (note: this should be moved to the property statements)	quartz (Q43010) ? 7 diamond (Q5283) ? 10 talc (Q134583) ? 1	Number
P2056	heat capacity of a substance with phase of matter and temperature as qualifiers	heat capacity (Q179388)	term	null	gold (Q897) ? 25.418 joule per mole kelvin	Number
P2053	null	drainage basin (Q166620)	null	square kilometre (Q712226),square mile (Q232291) (note: this should be moved to the property statements)	According to this template: Heberly Run (Q17544815) => 6,42 square mile (Q232291) According to statements in the property: Po (Q643) ? 71000 square kilometre When possible, data should only be stored as statements	Number
P1086	The atomic number (Q23809) of a chemical element	atomic number (Q23809)	chemical element (Q11344)	positive integers smaller or equal to 153 (note: this should be moved to the property statements)	hydrogen (Q556) ? 1 barium (Q1112) ? 56 ununoctium (Q1307) ? 118	Number
P2054	The measure of mass per volume	density (Q29539)	null	null	According to this template: helium (Q560) = 0.1785 kilogram per cubic metre (Q844211) According to statements in the property: helium (Q560) ? 0.1785 kilogram per cubic metre When possible, data should only be stored as statements	Number
P1083	?he seating capacity [[[Q16685058|seating capacity (Q16685058)]]] of the venue. See home venue (P115).	seating capacity (Q16685058)	place	range between 1 and 400000 (note: this should be moved to the property statements)	Lang Park (Q643328) ? 52500	Number
P2051	For exoplanets observed using the radial velocity method, a degeneracy exists between mass and orbital inclination (see e.g.[1]).	minimum mass (Q2306635)	Exoplanet : instance of (P31) = extrasolar planet (Q44559)	null	HD 113538 c (Q1252981) ? 71 Jupiter mass	Number
P2052	speed of an item (e.g. orbital speed of astronomic body)	speed (Q3711325)	items that move	null	<Earth> speed (orbital, mean) <29.78 km/s> (note: this should be moved to the property statements)	Number
P1081	null	Human Development Index (Q38994)	Nations	0 ? HDI ? 1 (note: this should be moved to the property statements)	Norway (Q20) ? 0.944	Number
P1082	number of people inhabiting the place [ population (Q33829) ] ; use point in time (P585) as qualifier; use preferred rank for the most recent total value.	population size (Q1613416)	geographic features: places	null	According to this template: San Francisco (Q62) => 825,111, point in time 2013 According to statements in the property: San Francisco (Q62) ? 837442 When possible, data should only be stored as statements	Number
P2050	null	wingspan (Q245097)	aircraft (Q11436)	null	Airbus A380 (Q5830) ? 79.8 metre	Number
P1080	subject fictional entity is in object narrative or fictional universe	fictional universe (Q559618)	any under the subclass tree of fictitious entity (Q14897293)	subclasses of work (Q386724) or fictional universe (Q559618) (note: this should be moved to the property statements)	Frodo Baggins (Q177329) ? Tolkien's legendarium (Q81738) Albus Dumbledore (Q712548) ? Harry Potter universe (Q5410773) Buffy Summers (Q1799459) ? Buffyverse (Q2524381)	Item
P6	head of (executive) government, for any level, be it local (e.g. mayor), regional (e.g. governor) or national (e.g. prime minister). For national governments, this position may or may not coincide with the head of state (P35).	head of government (Q2285706)	political territorial entity - political territorial entity (Q1048835)	persons - human (Q5) (note: this should be moved to the property statements)	Germany (Q183) ? Angela Merkel (Q567) Australia (Q408) ? Edmund Barton (Q23342), John Howard (Q51330) and Gough Whitlam (Q23333) United States of America (Q30) ? Barack Obama (Q76) and Bill Clinton (Q1124)	Item
P7	the linked object is brother of the subject	brother (Q10861465)	person (not necessarily human)	male person (of the same nature) (note: this should be moved to the property statements)	Jan Martel (Q14755480) ? Joël Martel (Q14755483) Joël Martel (Q14755483) ? Jan Martel (Q14755480)	Item
P915	where this film or television program was filmed. See WikiProject Filming Locations for further information. Can also be used as a quantifier for the narrative location (P840).	filming location (Q1045481)	films, movies, motion pictures	items that represent geographic locations or film studios (note: this should be moved to the property statements)	According to this template: For a Few Dollars More (Q153677) <filming location> Spain (Q29) For a Few Dollars More (Q153677) <narrative set in> New Mexico (Q1522) <filming location> Spain (Q29) According to statements in the property: Batman (Q116852) ? Knebworth House (Q19841) and Pinewood Studios (Q661896) For a Few Dollars More (Q153677) ? Spain (Q29) For a Few Dollars More (Q153677) ? Spain (Q29) When possible, data should only be stored as statements	Item
P9	the linked object is sister of the subject	sister (Q595094)	person - not necessarily human	Female person (of the same nature) (note: this should be moved to the property statements)	Charlotte Brontë (Q127332) ? Emily Brontë (Q80137) Apollo (Q37340) ? Artemis (Q39503) Bart Simpson (Q5480) ? Lisa Simpson (Q5846) Emily Brontë (Q80137) ? Charlotte Brontë (Q127332)	Item
P914	German video game content rating	Unterhaltungssoftware Selbstkontrolle (Q157754)	videogames - video game (Q7889)	USK 0 (Q14920387), USK 6 (Q14920391), USK 12 (Q14920392), USK 16 (Q14920393), USK 18 (Q14920394) (note: this should be moved to the property statements)	The Legend of Zelda (Q12395) ? USK 0 (Q14920387) Grand Theft Auto (Q94501) ? USK 16 (Q14920393)	Item
P916	Game Software Rating Regulations (Q1070860) : Taiwanese video game content rating system	null	video game (Q7889)	content rating system (Q5165090) items that are part of Game Software Rating Regulations (Q1070860) (note: this should be moved to the property statements)	MISSING	Item
P2048	null	height (Q208826)	null	all (note: this should be moved to the property statements)	Eiffel Tower (Q243) ? 324 metre Kenza Tazi (Q15709800) ? 1.66 metre	Number
P2049	null	width (Q35059)	Any object with spatial extent	All positive one-dimensional values with a length unit (note: this should be moved to the property statements)	Mona Lisa (Q12418) ? 53 centimetre	Number
P1078	configuration of the valvetrain utilized by the engine - valvetrain (Q1127794)	null	engines - reciprocating engine (Q630010)	types of valvetrain (Q1127794) (latest list) - see Category:Engine valvetrain configurations (Q8414593) (note: this should be moved to the property statements)	According to this template: Gnome-Rhône Mistral Major (Q902691) => valvetrain => overhead valve (Q267714) According to statements in the property: Gnome-Rhône Mistral Major (Q902691) ? overhead valve (Q267714) When possible, data should only be stored as statements	Item
P1199	the manner in which a particular genetic trait or disorder is passed from one generation to the next	mode of inheritance (Q1348351)	trait (Q1211967)	mode of inheritance (Q1348351) (latest list), such as autosomal dominant (Q15729063), X-linked recessive (Q1988987), mitochondrial (Q15729075)... (note: this should be moved to the property statements)	Bloom syndrome (Q1469646) ? autosomal recessive (Q15729064)	Item
P2046	null	area (Q11500)	null	null	Carcaixent (Q1771128) ? 59.25 square kilometre	Number
P913	mathematical notation or another symbol	null	Some categories of MAIN TYPE (physical or mathematical values)	Unicode symbol or sequence of symbols (note: this should be moved to the property statements)	According to this template: equality (Q842346) -> equals sign (Q214796) According to statements in the property: equality (Q842346) ? equals sign (Q214796) When possible, data should only be stored as statements	Item
P1079	Company that launched the rocket.	launch service provider (Q11753232)	spacecraft (Q40218), mainly artificial satellite (Q26540)	launch service provider (Q11753232) - contractors (note: this should be moved to the property statements)	Gaia (Q767805) ? Arianespace (Q309867)	Item
